Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
APOS Energy AS180,APOS Energy,Mono-c-Si,0,180.331,161.2,1.341,1.341,1,48,8.34,29.59,7.69,23.45,0.0071724,-0.0852192,47.8,1.2232,8.36531,2.53E-10,0.335002,110.395,23.6756,-0.425,N,SAM 2021.12.02,11/16/2022
APOS Energy AP185,APOS Energy,Multi-c-Si,0,183.791,164.5,1.341,1.341,1,48,8.05,29.86,7.69,23.9,0.0099015,-0.0883856,49.1,1.26754,8.21949,4.77E-10,0.296972,317.125,26.399,-0.429,N,SAM 2021.12.02,11/16/2022
APOS Energy AS185,APOS Energy,Mono-c-Si,0,185.651,165.8,1.341,1.341,1,48,8.51,29.78,7.84,23.68,0.0073186,-0.0857664,47.8,1.23396,8.536,2.73E-10,0.318431,104.227,24.2394,-0.425,N,SAM 2021.12.02,11/16/2022
Applied Materials Full Size Single Junction Version 1.0,Applied Materials,Thin Film,0,413.882,384.8,5.72,2.6,2.2,216,2.9,194.2,2.59,159.8,0.00232,-0.64086,44.8,7.44298,2.91514,1.25E-11,4.37503,838.153,-7.80604,-0.3,N,SAM 2021.12.02,11/16/2022
Applied Materials Full Size Tandem Junction,Applied Materials,Thin Film,0,466.56,420.2,5.72,2.6,2.2,216,2.6,280,2.16,216,0.002704,-1.1228,44.1,12.1548,2.65225,2.21E-10,13.2709,660.343,-3.84487,-0.368,N,SAM 2021.12.02,11/16/2022
Aptos Solar Technology LLC DNA-120-BF23-320W,Aptos Solar Technology LLC,Mono-c-Si,1,320.1,296.1,1.66,,,60,10.13,40.2,9.7,33,0.0046598,-0.11055,46.4,1.50273,10.2358,2.45E-11,0.268283,605.618,5.92269,-0.358,N,SAM 2021.12.02,11/16/2022
Aptos Solar Technology LLC DNA-144-MF10-535W,Aptos Solar Technology LLC,Mono-c-Si,0,534.702,501.3,2.56,,,72,13.79,49.3,13.17,40.6,0.0075845,-0.150858,43.7,1.87179,13.9363,5.03E-11,0.226352,375.771,-1.77114,-0.355,N,SAM 2021.12.02,11/16/2022
Aptos Solar Technology LLC DNA-144-MF10-540W,Aptos Solar Technology LLC,Mono-c-Si,0,540.089,506.1,2.56,,,72,13.85,49.4,13.27,40.7,0.0076175,-0.151164,43.7,1.87281,13.9933,4.87E-11,0.224488,648.124,-2.06259,-0.355,N,SAM 2021.12.02,11/16/2022
AU Optronics PM200M00_190,AU Optronics,Mono-c-Si,0,193.761,172.6,1.296,1.318,0.983,48,8.6,30.23,8.07,24.01,0.00673208,-0.0969476,45.1,1.24958,8.60724,2.66E-10,0.321152,381.696,11.128,-0.4301,N,SAM 2021.12.02,11/16/2022
AU Optronics PM200M00_195,AU Optronics,Mono-c-Si,0,198.901,177.3,1.296,1.318,0.983,48,8.68,30.29,8.26,24.08,0.0067947,-0.09714,45.1,1.24913,8.77005,2.57E-10,0.312591,844.194,10.6563,-0.4301,N,SAM 2021.12.02,11/16/2022
